Global Statistics
Total number of particles:,5501
Surface Coverage (%):,34.37
Total grain area (µm²):,133844.25
Mean grain area (µm²):,24.33
Particle density (particles/µm²):,0.014128

Size Distribution Statistics
Mean area (µm²):,24.33
Median area (µm²):,20.25
Standard deviation of area (µm²):,15.81
Mean perimeter (µm):,19.93
Median perimeter (µm):,17.81
Standard deviation of perimeter (µm):,8.77

Individual Grain Measurements
Grain #,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter
112,69.0,18.75,-37.59,32.04,14.62,44.28
113,69.0,18.75,-84.71,32.96,13.42,44.41
114,69.0,18.75,-33.91,22.86,17.6,38.96
115,68.75,18.71,-26.08,32.04,11.81,40.61
116,68.75,18.71,60.78,29.08,14.51,42.28
117,68.5,18.68,-60.41,22.42,16.65,38.42
118,68.5,18.68,12.74,31.58,12.94,44.87
119,68.5,18.68,-84.3,30.9,14.28,46.99
120,68.25,18.64,79.64,33.06,12.33,43.91
121,68.0,18.61,-55.06,35.08,11.31,45.49
122,67.75,18.58,18.65,28.31,14.96,45.91
123,67.25,18.51,75.63,26.0,20.2,47.91
124,67.0,18.47,-19.81,29.64,12.75,42.89
125,66.75,18.44,-45.83,20.05,17.23,33.3
126,66.75,18.44,42.19,28.94,14.8,45.28
127,66.5,18.4,21.76,23.74,16.75,36.28
128,66.5,18.4,36.83,36.66,11.34,45.99
129,66.5,18.4,60.7,33.37,12.8,44.82
130,66.5,18.4,-62.59,30.36,15.07,45.47
131,66.0,18.33,56.91,33.94,11.73,42.63
132,65.75,18.3,-62.26,29.88,13.46,44.66
133,65.75,18.3,-38.65,28.72,13.85,40.96
134,65.75,18.3,-45.56,37.55,11.87,45.78
135,65.75,18.3,70.58,26.42,16.9,44.09
136,65.5,18.26,-36.31,30.21,11.73,37.83
137,65.5,18.26,16.45,32.58,12.85,43.28
138,65.5,18.26,72.83,26.79,15.74,45.96
139,65.5,18.26,25.53,24.1,14.43,33.92
140,65.0,18.19,-37.48,31.34,12.46,46.32
141,65.0,18.19,-2.56,30.23,12.15,40.04
142,65.0,18.19,-1.69,33.59,11.93,45.77
143,65.0,18.19,-17.6,30.22,14.78,42.25
144,64.75,18.16,-7.01,33.75,11.84,43.66
145,64.75,18.16,-47.81,22.28,16.72,40.09
146,64.75,18.16,-18.86,30.3,12.66,41.28
147,64.75,18.16,9.96,28.54,15.61,43.28
148,64.5,18.12,-29.31,29.82,13.82,41.75
149,64.5,18.12,-66.97,21.07,16.03,34.63
150,64.25,18.09,13.97,31.44,13.87,45.49
151,64.25,18.09,-11.6,29.63,12.22,42.42
152,64.0,18.05,52.26,22.99,17.01,38.21
153,64.0,18.05,-69.95,25.66,13.54,36.92
154,64.0,18.05,-73.85,28.67,12.49,36.06
155,64.0,18.05,23.93,32.41,11.48,44.87
156,63.75,18.02,79.83,20.03,16.51,31.68
157,63.75,18.02,9.09,29.59,11.83,41.08
158,63.75,18.02,-5.5,23.61,20.59,43.58
159,63.75,18.02,-47.07,34.01,14.08,46.49
160,63.5,17.98,-27.39,28.05,15.92,44.09
161,63.5,17.98,23.01,35.79,10.07,43.37
162,63.5,17.98,-11.24,28.58,13.53,41.08
163,63.25,17.95,43.39,24.79,17.37,43.08
164,63.25,17.95,-48.79,21.56,19.38,41.87
165,63.25,17.95,-43.52,33.17,13.03,45.41
166,63.0,17.91,-78.18,31.58,11.91,43.28
167,63.0,17.91,20.64,29.31,14.32,46.91
168,63.0,17.91,79.84,38.24,9.6,46.7
169,62.75,17.88,26.22,25.89,12.96,36.25
170,62.75,17.88,9.43,24.42,14.18,35.13
171,62.5,17.84,-13.03,28.85,12.97,38.66
172,62.5,17.84,80.78,26.55,14.59,41.49
173,62.5,17.84,-15.65,36.73,10.17,46.77
174,62.5,17.84,-75.51,24.25,15.12,37.54
175,62.5,17.84,6.21,33.32,12.53,44.2
176,62.5,17.84,-29.11,21.69,16.33,35.92
177,62.25,17.81,-26.55,22.35,15.3,35.96
178,62.25,17.81,-53.66,31.4,13.29,42.35
179,62.25,17.81,-27.01,28.19,11.72,36.92
180,62.25,17.81,-63.63,26.24,14.22,38.04
181,62.0,17.77,-78.3,27.84,13.01,38.32
182,62.0,17.77,14.24,31.45,11.28,41.78
183,62.0,17.77,-17.73,24.8,13.44,35.21
184,62.0,17.77,82.28,30.48,13.55,45.16
185,61.75,17.73,-75.49,29.69,17.39,47.58
186,61.75,17.73,-0.86,31.39,13.4,42.52
187,61.75,17.73,3.26,28.11,16.15,43.04
188,61.5,17.7,-19.39,28.89,12.2,40.41
189,61.5,17.7,-88.81,33.18,10.59,44.41
190,61.5,17.7,42.61,28.28,12.19,37.04
191,61.25,17.66,34.06,28.82,13.21,41.23
192,61.25,17.66,-74.92,35.75,9.74,42.75
193,61.0,17.63,71.37,31.34,11.56,39.83
194,61.0,17.63,-88.24,25.14,14.19,36.01
195,61.0,17.63,-3.94,32.11,11.93,42.28
196,61.0,17.63,41.9,28.22,13.28,40.99
197,60.75,17.59,35.03,22.06,17.09,38.04
198,60.75,17.59,19.67,33.98,11.28,45.41
199,60.75,17.59,63.18,32.61,10.36,41.25
200,60.75,17.59,88.35,21.55,15.73,35.71
201,60.5,17.55,-31.3,26.64,12.61,36.33
202,60.5,17.55,-71.38,27.5,12.6,38.04
203,60.5,17.55,-5.43,23.99,13.82,36.52
204,60.5,17.55,-38.3,30.86,13.31,45.49
205,60.5,17.55,29.73,31.48,11.76,42.66
206,60.25,17.52,-5.05,25.17,13.94,37.75
207,60.25,17.52,61.53,20.53,16.7,36.2
208,60.25,17.52,-57.1,28.23,12.78,38.04
209,60.0,17.48,28.65,25.59,13.64,37.94
210,60.0,17.48,16.29,25.16,13.15,36.65
211,60.0,17.48,22.4,29.77,12.68,42.16
212,60.0,17.48,47.14,28.82,12.18,37.63
213,59.75,17.44,-7.98,29.37,11.24,39.46
214,59.75,17.44,23.88,29.17,13.04,41.66
215,59.75,17.44,-18.37,24.97,13.11,35.33
216,59.75,17.44,-44.92,25.5,13.55,36.54
217,59.5,17.41,-7.42,29.39,12.35,41.18
218,59.5,17.41,-48.39,29.18,12.05,38.33
219,59.25,17.37,-26.96,19.88,16.92,35.32
220,59.25,17.37,34.51,24.35,13.37,34.75
221,59.25,17.37,18.89,23.07,18.85,43.04
222,59.25,17.37,34.79,23.09,14.21,34.8
223,59.0,17.33,59.02,31.11,11.38,40.78
224,59.0,17.33,-46.78,30.49,12.77,40.96
225,59.0,17.33,76.73,26.79,13.13,39.42
226,59.0,17.33,-28.25,35.68,10.62,42.96
227,59.0,17.33,-42.44,33.08,10.6,40.94
228,59.0,17.33,30.13,19.21,18.13,34.71
229,58.75,17.3,-45.74,26.58,12.86,35.21
230,58.75,17.3,-35.96,24.01,13.42,33.18
231,58.5,17.26,-49.93,32.02,11.56,42.65
232,58.25,17.22,-15.36,30.48,10.9,39.16
233,58.25,17.22,-73.71,30.78,13.26,46.86
234,58.0,17.19,-78.35,28.62,11.71,37.63
235,57.75,17.15,-71.69,24.63,12.42,34.61
236,57.75,17.15,-19.91,28.37,14.97,43.78
237,57.75,17.15,-39.76,26.64,11.68,36.18
238,57.75,17.15,-84.74,21.09,14.77,33.63
239,57.75,17.15,-83.48,21.72,14.11,33.61
240,57.75,17.15,54.64,31.23,11.08,40.37
241,57.5,17.11,-51.21,24.54,12.85,34.54
242,57.5,17.11,-15.0,22.03,13.53,30.68
243,57.5,17.11,-55.33,23.42,13.9,34.63
244,57.25,17.08,-46.8,27.51,11.13,34.71
245,57.25,17.08,42.78,20.33,16.09,33.33
246,57.25,17.08,20.4,21.66,14.43,32.59
247,57.25,17.08,-84.45,23.97,16.06,38.47
248,57.0,17.04,-28.36,22.65,15.19,39.87
249,57.0,17.04,-77.52,25.22,13.27,36.63
250,56.75,17.0,52.05,23.62,13.94,35.8
251,56.75,17.0,-48.52,28.36,12.61,38.33
252,56.75,17.0,-28.47,25.44,16.93,42.16
253,56.75,17.0,-46.89,23.41,13.45,33.59
254,56.75,17.0,2.87,31.1,10.64,40.87
255,56.5,16.96,12.03,22.02,15.69,34.92
256,56.5,16.96,-59.01,21.96,15.22,34.13
257,56.5,16.96,27.47,22.68,13.11,31.68
258,56.5,16.96,63.48,20.27,15.03,32.59
259,56.25,16.93,-89.5,28.15,13.27,40.08
260,56.25,16.93,-89.83,22.02,14.62,34.63
261,56.25,16.93,-81.22,26.47,11.64,35.2
262,56.0,16.89,64.89,22.94,13.18,33.11
263,56.0,16.89,-42.96,23.21,13.57,34.33
264,56.0,16.89,-60.35,32.26,10.26,39.96
265,56.0,16.89,38.17,19.59,16.34,31.8
