Global Statistics
Total number of particles:,530
Surface Coverage (%):,22.89
Total grain area (µm²):,89115.75
Mean grain area (µm²):,168.14
Particle density (particles/µm²):,0.001361

Size Distribution Statistics
Mean area (µm²):,168.14
Median area (µm²):,134.88
Standard deviation of area (µm²):,132.72
Mean perimeter (µm):,53.00
Median perimeter (µm):,50.84
Standard deviation of perimeter (µm):,24.50

Individual Grain Measurements
Grain #,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter
1,749.5,61.78,-80.17,91.74,43.72,126.76
2,698.75,59.65,32.74,65.01,56.33,117.47
3,661.25,58.03,-39.51,80.26,47.11,121.25
4,643.0,57.23,-48.13,88.76,38.45,119.16
5,619.75,56.18,-27.15,66.21,51.62,112.05
6,608.0,55.65,-59.52,126.93,35.6,158.32
7,601.75,55.36,-24.8,60.65,50.83,98.48
8,576.75,54.2,48.95,59.77,50.79,102.14
9,549.25,52.89,-87.06,65.5,44.15,100.73
10,532.25,52.06,37.43,56.54,48.41,96.23
11,526.75,51.79,-86.66,54.36,51.33,94.78
12,525.75,51.75,-80.76,66.08,44.91,102.43
13,524.0,51.66,63.71,70.62,40.92,104.26
14,523.0,51.61,44.6,79.62,34.62,106.59
15,510.0,50.96,-75.84,62.53,42.45,95.07
16,503.5,50.64,-22.33,69.38,38.81,102.14
17,503.0,50.61,88.25,52.42,49.82,91.45
18,496.25,50.27,-38.24,57.88,44.17,92.69
19,474.25,49.15,-61.73,60.16,41.65,102.85
20,468.25,48.83,65.51,66.6,37.74,93.43
21,468.0,48.82,47.91,52.82,45.5,89.23
22,454.5,48.11,78.48,54.71,44.91,90.03
23,449.5,47.85,-53.29,71.37,35.04,99.1
24,445.25,47.62,-34.68,54.82,43.09,87.95
25,442.5,47.47,-16.17,56.33,42.62,89.15
26,438.25,47.24,-34.57,58.01,38.97,87.62
27,437.0,47.18,-41.09,74.12,30.92,94.98
28,435.5,47.1,55.07,63.51,35.49,91.23
29,435.25,47.08,20.53,81.76,30.17,107.54
30,435.0,47.07,-30.32,55.92,40.18,87.03
31,434.5,47.04,-57.27,63.49,36.87,92.1
32,431.0,46.85,-17.84,77.44,32.15,104.55
33,431.0,46.85,-15.05,61.62,37.41,92.15
34,426.5,46.61,1.43,74.08,30.23,98.48
35,420.5,46.28,56.7,56.35,39.13,86.41
36,414.5,45.95,-32.75,63.12,34.4,89.33
37,412.25,45.82,-53.7,54.67,40.4,87.65
38,407.75,45.57,68.35,73.56,31.64,96.24
39,397.5,44.99,-57.73,75.83,30.09,101.52
40,397.25,44.98,83.53,78.64,28.42,106.98
41,385.25,44.3,-79.83,52.39,40.89,87.2
42,383.0,44.17,-36.6,50.15,39.48,77.55
43,375.5,43.73,-68.31,57.5,33.5,81.86
44,373.5,43.61,-51.84,77.71,33.89,115.47
45,369.0,43.35,12.55,80.45,30.67,117.35
46,365.25,43.13,47.84,58.0,35.26,86.74
47,365.25,43.13,68.24,65.8,29.87,88.65
48,361.0,42.88,75.77,49.23,38.43,81.03
49,359.25,42.77,-66.62,64.18,30.18,87.28
50,358.25,42.71,-44.17,71.09,32.4,98.98
51,356.5,42.61,71.79,54.35,34.47,83.22
52,354.0,42.46,-82.57,56.28,32.57,78.72
53,349.5,42.19,14.58,49.37,36.52,77.91
54,342.0,41.73,4.25,50.2,35.07,76.17
55,331.0,41.06,60.06,52.93,32.55,78.62
56,330.75,41.04,1.87,60.5,28.32,83.7
57,328.0,40.87,-55.51,56.1,30.15,79.45
58,327.25,40.82,-37.08,55.97,30.07,75.88
59,324.5,40.65,62.64,52.32,32.78,79.1
60,322.0,40.5,34.82,57.59,30.74,82.53
61,321.0,40.43,39.71,46.04,35.81,71.55
62,320.25,40.39,-88.54,46.72,35.31,72.05
63,319.75,40.35,12.75,59.76,32.6,99.62
64,319.0,40.31,-69.38,55.23,32.58,81.79
65,318.25,40.26,51.49,53.5,30.6,75.41
66,317.5,40.21,-75.28,51.58,32.01,74.22
67,316.75,40.16,-33.85,51.54,31.81,73.58
68,316.5,40.15,-66.73,58.45,28.09,78.0
69,309.5,39.7,-24.58,51.03,31.22,75.67
70,307.25,39.56,-65.7,87.01,21.81,114.42
71,306.75,39.53,57.14,54.38,29.54,76.79
72,305.25,39.43,-28.02,87.1,24.25,116.87
73,304.5,39.38,0.56,59.3,27.36,83.03
74,304.5,39.38,-27.39,59.03,26.5,77.08
75,304.25,39.36,5.04,56.57,29.01,85.91
76,303.0,39.28,-39.39,53.73,29.71,80.69
77,301.5,39.19,-42.56,42.66,36.25,69.43
78,295.25,38.78,-13.97,58.44,26.78,85.71
79,291.5,38.53,45.29,64.51,26.42,95.98
80,285.75,38.15,-73.86,48.63,30.57,70.89
81,285.75,38.15,-88.54,47.02,31.37,73.17
82,285.75,38.15,14.08,48.04,30.57,70.31
83,283.75,38.01,82.33,44.92,32.43,69.6
84,279.5,37.73,77.96,65.78,27.82,96.81
85,279.25,37.71,-86.66,40.48,35.31,65.56
86,279.25,37.71,39.22,39.22,37.47,68.72
87,279.0,37.7,70.03,44.5,32.59,68.98
88,278.25,37.64,73.87,43.16,33.29,67.18
89,275.5,37.46,56.35,58.35,25.14,80.91
90,274.75,37.41,-55.68,51.28,27.8,71.84
91,273.25,37.3,22.03,43.76,32.06,67.72
92,270.5,37.12,9.08,46.67,30.32,73.62
93,268.5,36.98,-13.45,42.95,32.82,69.25
94,267.5,36.91,-22.43,40.24,34.59,64.06
95,267.25,36.89,18.71,55.34,25.42,73.34
96,267.0,36.88,-82.53,43.31,32.02,65.31
97,267.0,36.88,-7.6,51.31,27.79,73.55
98,266.75,36.86,34.15,39.54,34.44,63.48
99,266.25,36.82,60.37,40.51,33.69,64.44
100,265.5,36.77,50.86,44.45,30.68,68.31
101,263.75,36.65,-52.42,58.38,24.98,78.17
102,263.5,36.63,-72.8,40.63,33.44,65.39
103,263.5,36.63,-1.26,64.25,23.49,84.7
104,263.25,36.62,19.01,47.47,28.85,70.25
105,262.75,36.58,-86.64,40.35,33.46,64.89
106,262.5,36.56,-72.0,46.42,29.15,68.13
107,261.5,36.49,33.96,54.34,27.18,87.59
108,260.75,36.44,-68.92,43.41,31.95,73.46
109,260.5,36.42,62.7,43.54,31.49,67.72
110,259.5,36.35,89.85,41.69,31.92,64.01
111,259.5,36.35,19.47,46.13,29.72,68.31
112,256.5,36.14,-51.75,47.26,30.81,82.81
113,255.25,36.06,-83.34,40.94,32.18,64.53
114,255.0,36.04,-13.73,46.24,29.01,68.34
115,255.0,36.04,-84.43,39.14,34.51,66.63
116,249.75,35.66,36.25,38.18,33.82,63.34
117,248.25,35.56,-42.58,45.33,28.32,65.84
118,246.5,35.43,52.21,39.61,31.89,62.89
119,245.75,35.38,-67.59,39.21,32.74,66.99
120,245.75,35.38,-77.76,52.18,24.92,68.89
121,245.5,35.36,80.5,39.63,32.64,65.7
122,243.5,35.22,9.18,58.82,23.18,78.93
123,241.5,35.07,51.15,40.12,33.29,69.39
124,239.5,34.93,13.88,62.68,33.65,102.83
125,239.0,34.89,-81.87,46.85,30.01,79.22
126,239.0,34.89,30.85,47.99,26.05,69.93
127,238.75,34.87,-71.13,43.3,28.59,63.23
128,238.5,34.85,41.32,42.92,30.85,84.64
129,238.25,34.83,25.4,39.8,32.1,65.31
130,237.0,34.74,-89.7,41.23,29.97,65.89
131,237.0,34.74,19.68,40.57,31.35,67.13
132,236.0,34.67,70.21,57.74,21.27,70.89
133,235.75,34.65,63.33,41.09,31.26,75.74
134,235.0,34.6,76.98,48.42,25.37,65.94
135,235.0,34.6,78.46,51.0,24.22,70.37
136,232.75,34.43,59.28,37.89,31.45,59.53
137,232.0,34.37,50.06,41.61,28.87,62.77
138,231.75,34.36,-63.85,43.91,27.9,66.08
139,228.5,34.11,-18.02,37.69,31.44,62.81
140,226.5,33.96,-18.7,52.12,24.11,76.5
141,224.5,33.81,55.59,54.7,22.71,71.91
142,223.5,33.74,3.1,52.33,23.43,77.75
143,222.75,33.68,47.56,37.01,30.9,59.6
144,222.5,33.66,47.2,43.02,26.6,62.31
145,222.0,33.62,39.78,58.08,22.19,74.05
146,221.75,33.61,-76.13,40.53,28.04,61.53
147,221.5,33.59,-16.43,38.96,29.33,62.31
148,221.25,33.57,-62.4,39.38,29.75,61.93
149,220.75,33.53,22.57,37.09,30.63,59.65
150,219.75,33.45,-82.94,38.82,29.28,60.2
151,219.25,33.42,-84.33,36.09,31.35,60.98
152,218.25,33.34,-41.5,35.64,31.38,58.18
153,216.25,33.19,63.39,42.94,26.22,66.2
154,215.75,33.15,-40.05,42.77,25.94,63.43
155,215.75,33.15,28.66,38.92,28.55,60.48
156,214.25,33.03,-72.55,35.04,31.58,59.87
157,213.25,32.96,72.67,35.68,30.63,57.98
158,213.0,32.94,85.96,48.98,24.27,67.18
159,213.0,32.94,34.94,54.12,22.51,73.58
160,213.0,32.94,-17.9,43.84,25.33,61.23
161,212.75,32.92,68.38,41.44,26.64,59.77
162,212.5,32.9,60.96,37.22,29.71,61.27
163,212.0,32.86,47.48,41.07,26.47,59.36
164,212.0,32.86,4.37,50.49,23.92,74.39
165,211.5,32.82,13.97,36.02,30.23,57.49
166,211.25,32.8,52.94,37.11,29.86,63.81
167,209.25,32.65,53.34,38.17,29.12,64.1
168,206.75,32.45,57.7,35.62,29.75,57.36
169,206.5,32.43,-54.12,36.63,29.06,57.77
170,204.75,32.29,-78.18,34.18,30.82,59.15
171,204.25,32.25,-33.62,67.71,30.41,100.95
172,204.0,32.23,43.02,40.6,26.45,58.94
173,203.0,32.15,-15.82,38.46,27.41,61.48
174,203.0,32.15,-64.17,36.26,28.93,57.44
175,202.5,32.11,-12.08,35.31,29.59,57.03
176,202.5,32.11,-40.45,40.52,26.96,61.36
177,202.0,32.07,59.68,34.0,30.47,57.65
178,201.0,32.0,-54.82,37.9,27.6,58.89
179,200.75,31.98,-41.83,38.93,26.74,57.65
180,199.25,31.86,-54.23,36.82,27.99,57.86
181,198.5,31.8,36.86,41.0,25.42,61.39
182,198.25,31.78,2.18,43.53,23.66,62.18
183,198.0,31.76,-67.7,51.71,22.35,69.98
184,196.75,31.66,58.53,42.5,24.79,68.67
185,193.5,31.39,76.62,40.73,27.28,72.6
186,193.0,31.35,-73.35,38.03,26.31,57.82
187,190.25,31.13,30.69,46.44,21.65,63.18
188,189.75,31.09,-17.69,46.93,28.69,76.67
189,189.5,31.07,-6.68,32.5,29.82,53.41
190,187.5,30.9,-48.31,32.62,29.8,56.56
191,186.25,30.8,29.05,37.58,25.79,57.6
192,185.5,30.74,-70.12,37.37,27.35,61.81
193,185.25,30.72,17.1,56.47,19.23,83.43
194,185.25,30.72,48.21,40.76,25.82,70.31
195,184.0,30.61,-33.4,31.76,30.13,54.36
196,183.75,30.59,10.54,42.09,22.7,58.61
197,183.75,30.59,60.06,35.07,27.45,56.36
198,179.75,30.26,37.65,36.68,25.11,53.41
199,179.0,30.19,-60.88,36.96,25.29,58.03
200,178.5,30.15,77.77,36.18,25.61,54.82
201,178.25,30.13,-8.8,43.63,21.64,60.93
202,177.5,30.07,40.21,40.03,22.96,55.73
203,177.0,30.02,-78.64,47.08,21.96,70.37
204,176.0,29.94,-35.95,44.71,21.35,61.1
205,176.0,29.94,24.54,35.12,25.96,53.41
206,175.5,29.9,-71.26,35.75,25.43,54.15
207,174.75,29.83,-27.31,41.12,23.08,57.67
208,174.5,29.81,-1.9,37.16,26.01,61.43
209,174.25,29.79,29.43,38.71,23.25,56.03
210,173.75,29.75,-22.26,32.46,27.48,52.49
211,173.5,29.73,59.74,33.44,27.36,55.98
212,173.25,29.7,0.64,32.97,27.26,54.23
213,173.0,29.68,35.07,41.55,21.74,56.11
214,172.5,29.64,-56.35,41.09,22.22,56.91
215,170.5,29.47,-29.03,38.09,23.26,56.13
216,168.75,29.32,-52.91,42.2,22.02,59.39
217,167.5,29.21,-76.24,30.81,29.16,55.89
218,166.25,29.1,-65.5,37.14,22.98,53.36
219,165.25,29.01,19.42,42.02,22.0,65.03
220,165.25,29.01,47.62,39.74,22.34,56.32
221,165.0,28.99,45.28,43.11,20.54,63.01
222,164.75,28.97,4.52,33.16,26.01,52.03
223,164.0,28.9,-33.89,41.91,23.21,61.18
224,164.0,28.9,27.11,44.22,24.95,79.14
225,163.75,28.88,-73.86,39.86,21.26,53.99
226,163.0,28.81,59.7,40.64,22.72,62.58
227,162.75,28.79,33.93,31.06,26.9,50.87
228,161.0,28.64,33.66,36.42,23.74,53.82
229,160.5,28.59,-42.31,38.83,22.98,60.29
230,160.25,28.57,50.99,31.4,26.16,51.11
231,159.75,28.52,21.3,40.47,20.69,54.99
232,159.75,28.52,68.59,32.38,25.35,49.11
233,159.5,28.5,80.8,31.99,25.51,49.87
234,159.25,28.48,54.83,44.37,20.37,61.94
235,156.5,28.23,21.93,54.41,18.6,70.91
236,155.0,28.1,5.07,43.2,20.99,67.39
237,154.0,28.01,24.94,41.33,24.41,68.84
238,153.75,27.98,-81.48,36.16,22.1,51.16
239,152.75,27.89,47.41,35.95,22.36,54.73
240,152.5,27.87,66.94,32.2,24.38,50.94
