Global Statistics
Total number of particles:,530
Surface Coverage (%):,22.89
Total grain area (µm²):,89115.75
Mean grain area (µm²):,168.14
Particle density (particles/µm²):,0.001361

Size Distribution Statistics
Mean area (µm²):,168.14
Median area (µm²):,134.88
Standard deviation of area (µm²):,132.72
Mean perimeter (µm):,53.00
Median perimeter (µm):,50.84
Standard deviation of perimeter (µm):,24.50

Individual Grain Measurements
Grain #,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter
241,152.0,27.82,-43.32,36.91,22.08,52.49
242,151.5,27.78,60.91,42.95,20.13,62.46
243,151.25,27.75,32.33,32.83,23.68,49.2
244,151.0,27.73,85.79,38.23,20.64,52.37
245,149.0,27.55,-65.23,28.89,26.85,50.7
246,148.5,27.5,-13.63,40.54,21.92,62.7
247,147.75,27.43,48.33,30.36,25.07,46.33
248,146.75,27.34,-33.53,33.01,22.88,48.28
249,145.25,27.2,-11.78,33.29,22.75,52.23
250,144.25,27.1,-3.96,36.42,25.24,64.93
251,143.75,27.06,45.27,31.01,23.88,47.28
252,143.25,27.01,7.76,27.31,27.18,49.53
253,143.0,26.99,-71.09,41.71,19.42,57.72
254,142.25,26.92,-67.48,36.49,20.15,50.49
255,141.5,26.84,-42.76,29.13,24.99,47.61
256,141.25,26.82,-14.17,34.04,21.75,49.41
257,141.0,26.8,-28.35,32.34,27.69,62.6
258,140.5,26.75,1.65,33.79,21.89,51.49
259,140.0,26.7,-83.01,28.7,25.15,48.41
260,139.0,26.61,65.85,32.42,22.19,48.08
261,138.5,26.56,-60.05,28.65,24.72,46.91
262,138.0,26.51,-78.45,31.34,22.9,48.16
263,136.75,26.39,5.14,35.0,20.81,50.82
264,136.25,26.34,-26.81,36.17,19.8,54.15
265,135.0,26.22,-23.33,31.36,22.11,47.28
266,134.75,26.2,6.52,32.48,21.48,48.28
267,134.75,26.2,-52.88,30.35,24.15,53.53
268,134.25,26.15,64.04,36.64,21.17,54.36
269,134.0,26.12,-45.03,30.11,23.09,47.49
270,133.75,26.1,41.19,33.66,20.33,46.91
271,133.25,26.05,73.45,31.45,21.91,46.75
272,132.75,26.0,64.95,30.18,22.85,47.87
273,132.0,25.93,-34.38,32.71,20.81,48.94
274,131.5,25.88,-83.87,38.47,19.39,57.27
275,130.5,25.78,-60.55,30.53,21.98,44.92
276,130.5,25.78,-75.9,39.18,18.25,53.77
277,127.75,25.51,-28.71,41.36,23.2,69.08
278,127.25,25.46,-63.72,28.16,25.74,52.11
279,126.5,25.38,-37.35,38.1,17.67,48.94
280,125.75,25.31,-33.61,28.49,22.91,46.28
281,125.5,25.28,-57.46,35.83,18.68,50.32
282,124.25,25.16,-1.25,29.01,22.05,46.53
283,124.0,25.13,-21.78,26.79,24.25,45.87
284,124.0,25.13,43.27,36.09,17.85,48.7
285,122.75,25.0,-28.85,28.22,23.16,48.39
286,122.25,24.95,38.97,34.23,18.96,50.08
287,121.75,24.9,-34.62,29.92,21.06,45.66
288,121.0,24.82,19.19,30.67,20.39,44.41
289,119.75,24.7,-25.37,32.06,19.48,45.7
290,117.75,24.49,13.06,42.98,16.99,54.91
291,117.5,24.46,-24.33,37.73,16.28,49.65
292,117.0,24.41,-51.34,38.88,21.4,61.65
293,117.0,24.41,-77.41,28.43,21.21,43.04
294,117.0,24.41,15.17,27.56,22.18,42.87
295,116.75,24.38,-1.72,38.2,16.19,50.82
296,116.5,24.36,-12.38,29.3,20.68,43.16
297,116.5,24.36,76.72,24.68,24.27,41.51
298,116.0,24.31,15.36,31.03,19.78,47.16
299,115.75,24.28,34.3,28.32,21.19,43.66
300,114.75,24.17,8.13,36.36,18.29,49.99
301,114.0,24.1,43.16,31.17,18.8,43.58
302,114.0,24.1,1.32,29.54,19.9,43.58
303,113.75,24.07,-73.05,30.21,19.42,43.75
304,113.75,24.07,-81.44,24.86,23.58,41.04
305,113.25,24.02,57.52,38.36,17.39,59.68
306,113.25,24.02,-26.97,28.8,20.24,44.78
307,113.0,23.99,-44.46,33.43,17.59,47.7
308,113.0,23.99,16.71,28.57,20.26,41.33
309,112.5,23.94,27.06,32.82,18.3,47.82
310,111.75,23.86,13.0,30.06,19.34,43.87
311,111.5,23.83,49.34,25.75,22.26,41.87
312,110.75,23.75,17.75,27.78,20.4,41.13
313,110.5,23.72,16.19,35.75,16.66,50.11
314,110.25,23.7,-86.39,27.89,21.02,45.04
315,110.0,23.67,7.77,28.68,19.94,42.96
316,110.0,23.67,13.2,35.29,20.67,55.91
317,109.75,23.64,-1.86,38.29,15.08,47.33
318,109.25,23.59,13.71,37.29,19.75,57.87
319,109.0,23.56,71.95,25.73,21.71,40.63
320,109.0,23.56,1.11,35.62,16.51,49.11
321,109.0,23.56,-35.08,24.73,22.76,40.42
322,108.5,23.51,13.76,28.96,19.41,43.89
323,108.5,23.51,36.28,41.92,15.16,56.1
324,108.25,23.48,55.36,31.11,18.4,46.7
325,108.0,23.45,57.16,34.27,16.7,46.25
326,107.25,23.37,-58.77,28.68,19.17,41.92
327,106.5,23.29,-11.15,31.42,18.46,48.77
328,105.75,23.21,-72.38,30.72,17.86,42.75
329,105.75,23.21,56.89,27.16,22.68,51.92
330,105.25,23.15,-26.43,27.38,20.22,42.37
331,105.25,23.15,1.76,27.1,20.39,41.87
332,104.75,23.1,-6.64,25.47,21.18,40.04
333,104.5,23.07,-74.96,40.31,14.85,52.92
334,104.0,23.01,-11.06,29.39,18.56,42.78
335,103.0,22.9,83.15,31.15,17.12,42.63
336,102.75,22.88,50.53,32.3,19.2,57.98
337,102.25,22.82,-35.47,23.24,22.57,40.04
338,101.75,22.76,39.56,24.15,22.32,45.35
339,101.25,22.71,83.18,27.17,19.56,42.04
340,100.0,22.57,-47.81,28.64,18.82,48.08
341,98.75,22.43,-84.06,27.16,18.64,38.63
342,98.0,22.34,-9.33,27.79,18.4,42.28
343,97.5,22.28,68.5,25.01,20.03,38.92
344,96.75,22.2,37.28,25.26,19.87,41.46
345,96.5,22.17,-34.86,31.12,16.11,41.75
346,96.0,22.11,-7.44,28.24,18.24,41.87
347,94.25,21.91,59.97,31.71,15.5,40.46
348,94.0,21.88,-17.98,28.57,17.5,43.82
349,93.75,21.85,43.09,29.75,16.81,43.28
350,92.75,21.73,15.5,40.61,13.92,56.46
351,92.75,21.73,-55.7,22.88,20.94,38.04
352,92.25,21.68,41.52,28.77,16.64,39.37
353,92.25,21.68,42.86,26.99,20.43,46.39
354,92.0,21.65,-24.29,28.22,16.89,41.08
355,91.5,21.59,-8.26,27.36,17.8,43.3
356,91.5,21.59,-87.87,23.52,20.3,38.3
357,91.5,21.59,-16.68,27.97,16.84,39.75
358,89.75,21.38,66.67,25.85,18.28,38.09
359,89.25,21.32,4.3,24.52,18.84,37.09
360,89.0,21.29,46.65,23.08,19.87,36.73
361,87.75,21.14,-54.64,34.21,16.48,53.04
362,87.5,21.11,-57.34,32.21,15.03,44.47
363,87.25,21.08,35.18,24.52,19.11,42.99
364,86.0,20.93,-57.74,31.73,14.78,46.41
365,86.0,20.93,10.52,23.71,19.41,41.54
366,85.75,20.9,-51.66,25.34,17.52,37.01
367,85.25,20.84,8.04,27.68,19.31,49.91
368,84.0,20.68,52.28,29.78,16.32,48.63
369,84.0,20.68,-30.9,23.72,18.57,37.11
370,83.5,20.62,0.64,26.52,16.76,37.63
371,82.75,20.53,23.24,24.5,17.3,35.04
372,81.5,20.37,-55.55,24.31,17.31,35.09
373,81.0,20.31,69.56,22.6,19.11,36.18
374,80.25,20.22,-40.61,23.98,17.2,34.92
375,79.75,20.15,-88.51,30.67,14.01,41.52
376,79.75,20.15,-39.15,22.38,18.51,34.8
377,79.25,20.09,9.87,22.02,18.56,34.09
378,79.0,20.06,15.3,23.99,17.66,38.23
379,76.0,19.67,70.52,20.74,18.84,33.85
380,75.25,19.58,84.69,21.48,19.38,39.18
381,75.0,19.54,-25.74,27.81,16.08,43.7
382,74.75,19.51,6.17,23.32,18.23,42.25
383,74.75,19.51,3.0,24.67,17.25,39.94
384,74.5,19.48,21.48,29.47,18.2,48.3
385,74.25,19.45,18.96,25.21,15.54,36.46
386,72.25,19.18,-29.52,21.47,17.29,34.3
387,72.0,19.15,-59.75,23.05,16.41,35.13
388,71.75,19.12,44.33,21.71,17.04,32.92
389,71.5,19.08,-67.98,24.1,15.84,38.44
390,70.25,18.92,-56.88,25.64,14.23,33.8
391,68.75,18.71,-13.52,19.41,18.6,33.97
392,68.75,18.71,-81.56,19.71,17.86,31.68
393,68.5,18.68,-43.29,23.34,15.18,33.63
394,67.0,18.47,52.54,26.6,13.1,33.68
395,67.0,18.47,79.77,20.57,16.76,32.68
396,64.75,18.16,-53.68,22.82,14.63,31.51
397,63.75,18.02,39.54,22.73,15.1,35.75
398,63.25,17.95,-32.02,19.59,16.63,31.18
399,63.25,17.95,-1.71,20.59,15.86,31.3
400,62.0,17.77,73.6,21.43,14.83,30.88
401,61.75,17.73,-8.4,35.56,11.28,45.66
402,61.25,17.66,-72.25,20.75,19.0,42.77
403,60.75,17.59,-3.96,19.77,15.86,31.92
404,60.0,17.48,-44.26,22.61,14.05,31.44
405,60.0,17.48,-4.69,24.28,13.06,35.87
406,59.75,17.44,4.8,23.19,13.43,33.59
407,59.75,17.44,42.99,28.24,11.24,35.63
408,59.25,17.37,35.98,24.43,12.79,33.21
409,59.0,17.33,5.64,19.24,15.95,31.3
410,58.75,17.3,53.19,28.22,14.44,47.54
411,58.25,17.22,73.44,21.57,15.39,37.25
412,58.25,17.22,-10.22,26.53,13.74,38.21
413,57.5,17.11,-4.28,24.03,12.7,33.59
414,56.75,17.0,28.33,18.11,16.31,29.51
415,56.25,16.93,22.07,19.95,17.02,35.33
416,56.0,16.89,24.16,22.64,12.88,31.21
417,55.5,16.81,-3.47,19.01,15.5,32.33
418,55.25,16.77,-22.47,19.51,14.64,28.85
419,55.25,16.77,21.76,19.84,14.31,28.68
420,55.0,16.74,-29.59,21.44,13.31,29.68
421,54.75,16.7,68.8,23.76,13.88,35.01
422,54.5,16.66,-22.86,22.71,12.82,32.51
423,54.5,16.66,-62.04,24.4,11.89,33.32
424,54.5,16.66,22.79,20.39,13.86,29.59
425,54.25,16.62,-67.55,19.77,14.24,29.35
426,54.25,16.62,51.13,20.88,13.6,29.97
427,54.0,16.58,-2.42,19.6,14.2,30.51
428,53.75,16.55,11.74,26.75,12.08,40.35
429,53.75,16.55,57.15,18.56,15.03,29.3
430,53.25,16.47,14.45,21.36,12.95,30.47
431,53.25,16.47,-5.88,20.84,13.48,31.01
432,52.5,16.35,50.88,18.51,14.57,27.68
433,51.75,16.23,27.28,21.28,12.78,30.42
434,51.5,16.2,45.67,19.27,13.89,28.38
435,51.25,16.16,61.6,16.87,15.72,27.56
436,51.0,16.12,77.3,23.61,13.18,34.78
437,49.0,15.8,44.58,22.34,14.53,37.32
438,48.75,15.76,43.37,18.03,17.46,35.04
439,48.5,15.72,-2.41,22.22,12.12,31.49
440,48.0,15.64,-84.22,20.31,12.3,28.38
441,46.5,15.39,-78.49,19.42,12.53,28.14
442,46.0,15.31,24.12,21.24,12.29,30.92
443,45.75,15.26,53.09,17.71,13.4,25.56
444,44.75,15.1,29.82,21.98,11.05,29.01
445,44.5,15.05,-24.56,17.09,14.08,28.57
446,44.25,15.01,-83.94,18.28,12.69,25.44
447,44.0,14.97,-77.5,22.53,11.86,32.09
448,44.0,14.97,-14.47,19.72,11.91,28.28
449,44.0,14.97,68.16,15.85,14.51,26.44
450,42.75,14.76,-12.01,15.66,14.8,28.78
451,42.75,14.76,78.06,17.35,12.86,25.85
452,42.25,14.67,87.55,17.59,13.84,31.82
453,42.25,14.67,-68.12,15.88,13.93,25.26
454,41.25,14.49,49.3,26.03,12.66,43.16
455,41.0,14.45,-31.3,18.02,11.99,25.85
456,41.0,14.45,-60.0,29.29,9.53,37.11
457,41.0,14.45,-15.04,17.18,12.91,27.78
458,41.0,14.45,-53.73,15.97,13.24,24.14
459,40.75,14.41,-39.09,23.59,9.47,30.8
460,40.75,14.41,-66.31,16.17,12.99,24.56
461,39.75,14.23,77.54,19.0,12.19,31.59
462,39.5,14.18,34.76,16.62,13.02,25.47
463,39.25,14.14,-53.99,14.87,13.51,23.02
464,38.75,14.05,-72.59,17.3,12.94,29.06
465,38.5,14.0,29.03,17.06,12.22,26.56
466,38.25,13.96,30.42,16.66,11.82,23.85
467,38.0,13.91,-21.37,22.2,10.17,31.18
468,37.75,13.87,39.49,19.11,11.24,28.38
469,37.25,13.77,-19.0,16.35,11.75,22.73
470,36.25,13.59,-62.2,14.95,12.57,23.44
471,35.5,13.45,42.42,19.81,10.09,28.68
472,35.25,13.4,35.59,15.64,12.23,24.73
473,35.0,13.35,-36.04,15.79,12.13,26.18
474,34.75,13.3,-47.87,22.1,9.21,28.59
475,34.5,13.26,39.89,20.51,9.33,28.47
476,34.25,13.21,89.17,14.89,11.9,23.14
477,34.0,13.16,43.74,24.27,9.83,33.8
478,33.5,13.06,-76.78,22.34,10.26,31.16
479,33.0,12.96,89.05,20.72,10.5,29.8
480,32.5,12.87,33.98,19.96,9.12,25.59
481,32.25,12.82,6.4,14.18,11.82,21.9
482,31.0,12.57,64.1,15.73,10.77,24.25
483,30.25,12.41,54.24,14.37,11.68,23.85
484,29.0,12.15,17.5,13.41,11.2,20.64
485,28.75,12.1,33.25,15.29,10.33,23.35
486,28.5,12.05,-80.83,17.08,9.28,23.21
487,27.75,11.89,-6.3,16.77,9.21,25.04
488,26.75,11.67,70.66,15.48,11.47,23.76
489,26.25,11.56,-40.97,19.92,8.57,26.56
490,25.75,11.45,83.5,15.98,9.4,23.52
491,25.75,11.45,25.01,15.04,8.98,20.64
492,25.0,11.28,74.92,15.58,8.84,22.44
493,25.0,11.28,-7.43,13.77,9.94,20.54
494,23.75,11.0,48.48,13.49,9.63,19.3
495,22.25,10.65,73.24,11.61,9.97,18.02
496,21.25,10.4,-73.32,14.02,8.21,19.94
497,20.75,10.28,63.68,12.02,9.02,16.61
498,20.5,10.22,-62.89,13.99,8.7,20.0
499,19.25,9.9,-23.51,14.17,7.3,18.52
500,18.5,9.71,4.57,10.15,9.62,16.28
501,18.0,9.57,34.61,10.6,8.84,16.31
502,17.25,9.37,-78.49,14.86,6.86,18.73
503,17.0,9.3,51.48,10.16,9.19,16.31
504,16.5,9.17,-82.91,11.55,8.73,18.42
505,16.0,9.03,71.2,13.29,6.95,17.19
506,15.0,8.74,48.52,10.91,7.45,15.69
507,14.0,8.44,-9.82,8.88,8.69,14.9
508,13.5,8.29,-52.52,11.09,6.47,14.59
509,13.0,8.14,61.19,9.56,7.32,14.19
510,12.75,8.06,-56.51,9.72,7.41,15.11
